cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
1,Felipe,Díaz,felipe.díaz1@mail.cl,M,2024-11-10,RM,Chile,36.0,2070006.0,True
2,Andrés,Silva,andrés.silva2@mail.cl,M,2024-05-21,Valparaíso,Chile,39.0,1613396.0,False
3,Daniela,Araya,daniela.araya3@mail.cl,F,2024-03-16,RM,Chile,38.0,1762752.0,False
4,Francisca,Soto,francisca.soto4@mail.cl,M,2024-01-18,RM,Chile,44.0,656730.0,True
5,Francisca,Araya,francisca.araya5@mail.cl,Femenino,2024-09-02,RM,Chile,64.0,1453277.0,True
6,Carolina,Contreras,carolina.contreras6@mail.cl,Femenino,2024-04-11,Coquimbo,Chile,54.0,1028178.0,True
7,Diego,Martínez,diego.martínez7@mail.cl,Masculino,2023-01-23,Araucanía,Chile,31.0,,False
8,Sebastián,López,sebastián.lópez8@mail.cl,M,2024-06-16,Valparaíso,Chile,64.0,1178843.0,True
9,Carolina,Flores,carolina.flores9@mail.cl,Femenino,2022-02-04,Antofagasta,Chile,53.0,960337.0,False
10,Camila,Muñoz,camila.muñoz10@mail.cl,F,2023-07-20,,Chile,46.0,1987550.0,False
11,Francisca,Araya,francisca.araya11@mail.cl,F,2022-07-21,Antofagasta,Chile,31.0,1450110.0,False
12,Daniela,Espinoza,daniela.espinoza12@mail.cl,Masculino,2024-10-13,Araucanía,Chile,38.0,523247.0,True
13,María,Valenzuela,maría.valenzuela13@mail.cl,M,2024-03-02,RM,Chile,62.0,1785160.0,True
14,Rodrigo,González,rodrigo.gonzález14@mail.cl,M,2023-06-05,Biobío,Chile,61.0,633767.0,False
15,Andrés,Rojas,andrés.rojas15@mail.cl,M,2023-01-27,Valparaíso,Chile,50.0,512666.0,True
16,Francisca,Contreras,francisca.contreras16@mail.cl,F,2022-02-10,Antofagasta,Chile,26.0,1579111.0,False
17,María,González,maría.gonzález17@mail.cl,Femenino,2023-05-18,RM,Chile,41.0,2196548.0,True
18,Carolina,Silva,carolina.silva18@mail.cl,F,2024-08-18,RM,Chile,64.0,2021101.0,True
19,Juan,Pérez,juan.pérez19@mail.cl,F,2023-05-18,Biobío,Chile,56.0,2194490.0,True
20,Francisca,López,francisca.lópez20@mail.cl,Femenino,2024-05-13,Valparaíso,Chile,69.0,1733916.0,False
21,Camila,Espinoza,camila.espinoza21@mail.cl,M,2022-08-19,Coquimbo,Chile,60.0,2323260.0,False
