venta_id,fecha_venta,cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,cliente_activo,producto_id,producto,categoria_id,nombre_categoria,cantidad,precio_unitario,total_venta,canal_venta
2025-001,2025-03-05,294,Camila,Espinoza,camila.espinoza294@mail.cl,Masculino,2024-01-21,Coquimbo,Chile,25.0,1670575.0,False,5,Audífonos,2,Accesorios,4,404145,1616580,App
2025-002,2025-04-23,31,Andrés,Valenzuela,andrés.valenzuela31@mail.cl,Femenino,2022-05-24,Biobío,Chile,23.0,551663.0,True,5,Audífonos,2,Accesorios,2,685159,1370318,Tienda Física
2025-003,2025-03-16,67,Camila,Muñoz,camila.muñoz67@mail.cl,Femenino,2024-02-01,Araucanía,Chile,49.0,,False,5,Audífonos,2,Accesorios,4,787881,3151524,Tienda Física
2025-004,2025-02-20,234,Sebastián,Contreras,sebastián.contreras234@mail.cl,Masculino,2024-06-05,Biobío,Chile,28.0,785555.0,False,2,Mouse,2,Accesorios,2,482890,965780,Web
2025-005,2025-01-30,245,Andrés,Flores,andrés.flores245@mail.cl,Masculino,2024-03-11,Araucanía,Chile,58.0,792231.0,True,2,Mouse,2,Accesorios,1,4995035,4995035,Web
2025-006,2025-06-19,37,Felipe,Martínez,felipe.martínez37@mail.cl,Masculino,2024-03-26,,Chile,37.0,2079159.0,False,4,Monitor,1,Tecnología,1,566066,566066,Tienda Física
2025-007,2025-07-15,134,Juan,Soto,juan.soto134@mail.cl,Femenino,2022-01-10,Coquimbo,Chile,27.0,1419723.0,False,2,Mouse,2,Accesorios,4,553088,2212352,Web
2025-008,2025-02-28,77,Juan,Espinoza,juan.espinoza77@mail.cl,Femenino,2023-12-30,RM,Chile,36.0,678352.0,False,6,Tablet,1,Tecnología,4,765600,3062400,Web
2025-009,2025-10-05,224,Francisca,Morales,francisca.morales224@mail.cl,Masculino,2022-03-23,Biobío,Chile,,1737580.0,True,4,Monitor,1,Tecnología,1,406452,406452,Web
2025-010,2025-12-08,162,Daniela,González,daniela.gonzález162@mail.cl,Masculino,2024-09-16,Valparaíso,Chile,36.0,,False,5,Audífonos,2,Accesorios,3,741478,2224434,Tienda Física
2025-011,2025-12-20,42,Juan,González,juan.gonzález42@mail.cl,Femenino,2023-04-05,Coquimbo,Chile,39.0,781974.0,False,5,Audífonos,2,Accesorios,3,735753,2207259,Web
2025-012,2025-10-27,21,Camila,Espinoza,camila.espinoza21@mail.cl,Masculino,2022-08-19,Coquimbo,Chile,60.0,2323260.0,False,3,Teclado,2,Accesorios,3,653907,1961721,Tienda Física
2025-013,2025-10-07,92,Juan,Pérez,juan.pérez92@mail.cl,Femenino,2023-10-18,Valparaíso,Chile,28.0,1365291.0,False,5,Audífonos,2,Accesorios,3,572060,1716180,Tienda Física
2025-014,2025-09-30,139,Diego,Pérez,diego.pérez139@mail.cl,Masculino,2022-03-19,Coquimbo,Chile,21.0,1696632.0,True,3,Teclado,2,Accesorios,4,503671,2014684,App
2025-015,2025-06-01,249,Francisca,Soto,francisca.soto249@mail.cl,Masculino,2022-07-13,Araucanía,Chile,43.0,550861.0,False,2,Mouse,2,Accesorios,3,612276,1836828,Tienda Física
2025-016,2025-10-11,8,Sebastián,López,sebastián.lópez8@mail.cl,Masculino,2024-06-16,Valparaíso,Chile,64.0,1178843.0,True,5,Audífonos,2,Accesorios,1,249779,249779,App
2025-017,2025-03-05,147,Rodrigo,Valenzuela,rodrigo.valenzuela147@mail.cl,Masculino,2022-08-16,Coquimbo,Chile,69.0,1851351.0,True,3,Teclado,2,Accesorios,1,798140,798140,Tienda Física
2025-018,2025-09-03,140,Francisca,Martínez,francisca.martínez140@mail.cl,Femenino,2022-10-23,Coquimbo,Chile,57.0,1588287.0,True,5,Audífonos,2,Accesorios,2,36086,72172,Web
2025-019,2025-01-20,184,Andrés,González,andrés.gonzález184@mail.cl,Masculino,2023-11-24,Valparaíso,Chile,43.0,,True,1,Notebook,1,Tecnología,2,170761,341522,App
2025-020,2025-05-27,17,María,González,maría.gonzález17@mail.cl,Femenino,2023-05-18,RM,Chile,41.0,2196548.0,True,2,Mouse,2,Accesorios,4,725371,2901484,App
2025-021,2025-09-07,183,Diego,Araya,diego.araya183@mail.cl,Femenino,2023-09-26,Coquimbo,Chile,19.0,1649947.0,False,4,Monitor,1,Tecnología,2,431280,862560,App
2025-022,2025-07-22,216,Pedro,Martínez,pedro.martínez216@mail.cl,Femenino,2022-06-19,Biobío,Chile,57.0,2377528.0,True,1,Notebook,1,Tecnología,3,570881,1712643,Web
2025-023,2025-08-07,179,Felipe,Pérez,felipe.pérez179@mail.cl,Masculino,2024-04-17,Antofagasta,Chile,38.0,985417.0,False,2,Mouse,2,Accesorios,4,552642,2210568,Tienda Física
2025-024,2025-09-17,239,Andrés,Silva,andrés.silva239@mail.cl,Femenino,2023-03-06,RM,Chile,46.0,1486420.0,False,5,Audífonos,2,Accesorios,3,160575,481725,Tienda Física
2025-025,2025-12-03,116,Diego,Martínez,diego.martínez116@mail.cl,Femenino,2022-12-12,Antofagasta,Chile,66.0,591865.0,True,1,Notebook,1,Tecnología,1,418288,418288,Tienda Física
2025-026,2025-10-21,63,Diego,Soto,diego.soto63@mail.cl,Masculino,2022-09-04,RM,Chile,43.0,567215.0,True,3,Teclado,2,Accesorios,3,131668,395004,Web
2025-027,2025-10-14,189,Diego,Martínez,diego.martínez189@mail.cl,Masculino,2022-10-23,Valparaíso,Chile,42.0,1941852.0,True,2,Mouse,2,Accesorios,4,259877,1039508,Web
2025-028,2025-06-20,214,Pedro,Soto,pedro.soto214@mail.cl,Masculino,2024-06-11,Coquimbo,Chile,26.0,2175843.0,False,3,Teclado,2,Accesorios,2,553625,1107250,App
2025-029,2025-10-04,126,Camila,López,camila.lópez126@mail.cl,Femenino,2022-11-11,Araucanía,Chile,54.0,921240.0,True,4,Monitor,1,Tecnología,2,677304,1354608,Tienda Física
2025-030,2025-10-13,184,Andrés,González,andrés.gonzález184@mail.cl,Masculino,2023-11-24,Valparaíso,Chile,43.0,,True,1,Notebook,1,Tecnología,2,328766,657532,Tienda Física
2025-031,2025-09-21,19,Juan,Pérez,juan.pérez19@mail.cl,Femenino,2023-05-18,Biobío,Chile,56.0,2194490.0,True,2,Mouse,2,Accesorios,1,526637,526637,Tienda Física
2025-032,2025-03-06,67,Camila,Muñoz,camila.muñoz67@mail.cl,Femenino,2024-02-01,Araucanía,Chile,49.0,,False,4,Monitor,1,Tecnología,1,412980,412980,Web
2025-033,2025-05-21,37,Felipe,Martínez,felipe.martínez37@mail.cl,Masculino,2024-03-26,,Chile,37.0,2079159.0,False,5,Audífonos,2,Accesorios,4,410511,1642044,Web
2025-034,2025-09-14,127,Diego,Soto,diego.soto127@mail.cl,Masculino,2023-09-16,RM,Chile,28.0,2334813.0,False,4,Monitor,1,Tecnología,3,348113,1044339,Tienda Física
2025-035,2025-01-23,104,Daniela,Contreras,daniela.contreras104@mail.cl,Femenino,2022-09-07,Coquimbo,Chile,20.0,1118362.0,False,1,Notebook,1,Tecnología,2,64189,128378,App
2025-036,2025-12-24,260,Camila,Araya,camila.araya260@mail.cl,Femenino,2023-06-16,Coquimbo,Chile,67.0,,True,3,Teclado,2,Accesorios,3,2524436,7573308,Tienda Física
